Locus,logFC_proto,logCPM_proto,F_proto,PValue_proto,p_adj_proto,logFC_treat,logCPM_treat,F_treat,PValue_treat,p_adj_treat,de_type_treat,de_type_proto
AT1G22450,-0.01447479666558055,4.635964094273858,0.0022063830544115834,0.9633341227458094,0.9745489932449497,0.48246236745309173,4.635964094273858,3.5797188919662992,0.08369802721458489,0.16282150947466895,Not DE,Not DE
AT1G22500,0.9758484294385025,2.050922711686704,2.8791883103034266,0.11636330951963351,0.19490950981103933,1.2006097514362275,2.050922711686704,5.394024195337109,0.03926792377207154,0.09139958192031485,Not DE,Not DE
AT1G22510,0.30897607245799275,3.4331737186162807,1.120246217085595,0.3114009255620569,0.4199670269870887,0.705500864580379,3.4331737186162807,8.19460429149238,0.014715342219923894,0.04339161437832139,Not DE,Not DE
AT1G22520,0.1552131792853647,3.604214050385472,0.25434427318194985,0.6234714263844646,0.7121397180232878,0.1733160573475254,3.604214050385472,0.4580777414258218,0.5117900939444577,0.6341619225997552,Not DE,Not DE
AT1G22530,0.03023508531877432,6.553566546509718,0.0220510683341866,0.8845005378215673,0.9179992888937804,-1.0452356212206513,6.553566546509718,35.03787217382807,8.07121486940166e-5,0.0010744904645510554,Not DE,Not DE
AT1G22540,-0.5747167982299052,2.8564280725057993,1.9806455637382658,0.18554011570998294,0.2808912460313162,-0.5428251023329005,2.8564280725057993,3.0255623163166923,0.108388619146331,0.19794695663727502,Not DE,Not DE
AT1G22550,-1.807077829655185,2.345647308642596,5.849745558452886,0.03303084738934904,0.07154318849637499,0.825599527645123,2.345647308642596,2.739531169246846,0.12466392846231904,0.22050892611453796,Not DE,Not DE
AT1G22590,0.12515194532551044,3.7778737126321045,0.17411027021012224,0.6841002860613052,0.7632115220332889,-1.4245316069161782,3.7778737126321045,31.80733373848957,1.2366646114390643e-4,0.0014330283431222637,Not DE,Not DE
AT1G22620,0.0495699486389268,3.808681374555766,0.017641214459440935,0.8966109038542697,0.926943216416316,0.3718341118837213,3.808681374555766,1.4351601966871017,0.25482067204007647,0.3795089402333599,Not DE,Not DE
AT1G22610,-1.4227290819333738,5.128904333425826,30.709688878203618,1.440369712071317e-4,8.438602879358176e-4,0.11464558650788773,5.128904333425826,0.34790281549603774,0.5666106612022903,0.6814507049401018,Not DE,Proto Down
AT1G22630,-0.35749934240639175,6.496860844457975,1.9218843579694367,0.19170824777157303,0.2881528879213618,-0.9205160586166776,6.496860844457975,17.86104204481706,0.0012646494009329377,0.007111943914337647,Not DE,Not DE
AT1G22640,-3.7773168315401966,3.3043746570907335,50.90042357708393,1.4282721963284605e-5,1.1936725698265538e-4,-0.7590349107718278,3.3043746570907335,7.529624181949791,0.01828084450306012,0.050889645711775934,Not DE,Proto Down
AT1G22650,0.7454732681379911,3.60639132591741,3.3746995674832045,0.09193352476979161,0.16142523844371884,1.0025628182639434,3.60639132591741,8.060650347772334,0.015361938119858828,0.044817750807927575,Not DE,Not DE
AT1G22660,-2.183347681526879,2.545793252860045,11.189910925201065,0.006091036715294998,0.018516702651179148,0.4334198434452004,2.545793252860045,1.1320236846862588,0.30898365441377423,0.438636775578027,Not DE,Proto Down
AT1G22690,-5.8715920819563445,3.981524034742191,64.58223396999044,4.454230560852908e-6,4.5099829781808535e-5,-1.7013970096013287,3.981524034742191,30.730685755846366,1.4361196659339924e-4,0.0015902801852498668,Not DE,Proto Down
AT1G22700,0.38062402075334584,5.542877473929883,4.069161539708428,0.06741035279853201,0.12597745008846664,-1.0686209932562434,5.542877473929883,41.62691705655619,3.6879031431713566e-5,6.471799402175536e-4,Not DE,Not DE
AT1G22710,-2.7807735679073007,6.795957133481258,131.51409171982888,1.1100740383538073e-7,2.1994565159771374e-6,-0.05167281566537918,6.795957133481258,0.09008362273870606,0.7693795699969235,0.8444028698645767,Not DE,Proto Down
AT1G22730,0.7061984115032987,2.727028536594081,2.689978376641007,0.12778592526613208,0.20981414213619667,-0.3098433204734439,2.727028536594081,0.6928278948912456,0.4220041992872481,0.5519330384418296,Not DE,Not DE
AT1G22740,-0.06360377622224035,3.6495224563475372,0.019030903564253607,0.8926427598763659,0.9242720063041735,-0.9111192305442303,3.6495224563475372,5.983325708400825,0.03143250617168188,0.07710061956527191,Not DE,Not DE
AT1G22750,-0.11186708745696916,6.081361957745878,0.14935813764481876,0.7061423623020849,0.781234221790656,0.04400986377631845,6.081361957745878,0.03222430893650484,0.8606325417423824,0.9091147109860412,Not DE,Not DE
AT1G22770,1.7005179892008742,3.112358230224755,19.98464048983771,8.302178442916679e-4,0.003619223438213274,0.3029742710238508,3.112358230224755,0.7019767507443962,0.41904306607766884,0.5491998319664614,Not DE,Proto Up
AT1G22780,-0.2201529783529051,5.478114503396594,1.2342898943804497,0.2890641788757653,0.39704656622661416,-0.3344653237932635,5.478114503396594,4.071861642496108,0.06733179927723953,0.13821795734384618,Not DE,Not DE
AT1G22790,-1.9733751656416818,2.9042441026690398,20.03360732973587,8.224938433728382e-4,0.003593837194887615,0.3076873668540782,2.9042441026690398,1.1443315405286476,0.30648585011597596,0.4362261436492631,Not DE,Proto Down
AT1G22800,0.3163371861895509,2.465936280820634,0.44384586585409597,0.5182977865918341,0.6197858195869308,0.3850763719433622,2.465936280820634,0.9526356156783586,0.34895817954595254,0.48066749062025355,Not DE,Not DE
AT1G22810,8.714931650239075,7.38711194825525,1074.0087122055418,8.434728425290953e-13,3.0561002028154683e-9,-0.853665662302527,7.38711194825525,7.9493667638879035,0.015924868131514332,0.04597241989034681,Not DE,Proto Up
AT1G22830,5.8895936070141675,1.6240747006411906,90.86069770441179,7.831851946273926e-7,1.0625329541819342e-5,-1.3247056206999466,1.6240747006411906,3.90699917943256,0.07233947937420473,0.14585184378567848,Not DE,Proto Up
AT1G22840,0.7625285540517306,6.30017510003546,14.479124033200854,0.002656363029390845,0.009446286812212766,1.0156448261455873,6.30017510003546,31.577021197922335,1.2764457251100087e-4,0.0014632585399412573,Not DE,Proto Up
AT1G22850,-0.3379210267781953,7.575269747104216,1.7743920319084523,0.20841025472813268,0.3072431462111357,-0.5652916885100245,7.575269747104216,6.911418832437359,0.02255232062633071,0.05958933696323225,Not DE,Not DE
AT1G22860,-0.3289544488539038,2.714169679271701,0.6834113638203013,0.4250870906159214,0.5329707766056397,0.8538776865303357,2.714169679271701,7.327206533093427,0.01956402692346267,0.05346793771837756,Not DE,Not DE
AT1G22870,0.747343254381716,3.863436055037903,11.077079260404515,0.006281438405048867,0.018984741482460005,0.774586203874247,3.863436055037903,15.374240413034434,0.002161618430204637,0.010393770500224265,Not DE,Proto Up
AT1G22882,0.33027658692206835,4.94395087031002,2.2248934511578837,0.1624791855004828,0.2533837772232787,0.032445903245458714,4.94395087031002,0.028868843756300715,0.8680083377837434,0.9140175879755735,Not DE,Not DE
AT1G22885,-4.214116801758804,5.163092759181333,87.98430278321503,9.2530826743226355e-07,1.2160849836184057e-5,-0.6093253861918688,5.163092759181333,5.414454460458864,0.0389595939951662,0.09084966523275459,Not DE,Proto Down
AT1G22890,-0.29623979926895266,4.902845399448376,0.1663894824389782,0.6907660738124228,0.7680169020541464,-0.7346132406559748,4.902845399448376,1.5080167817666037,0.24376842919858943,0.36757227157965133,Not DE,Not DE
AT1G22900,3.462719303745291,3.567644806604789,44.483338366665166,2.707292287529682e-5,2.0486848641051276e-4,1.3482622076908963,3.567644806604789,5.526467406214064,0.037319818480487585,0.0880300786144294,Not DE,Proto Up
AT1G22910,-3.82970088416369,4.614956426851865,120.352789639445,1.7836964819459377e-7,3.1931333351948166e-6,-0.4064259133877263,4.614956426851865,4.081883494389311,0.06704120680327812,0.13784590666211607,Not DE,Proto Down
AT1G22920,-0.7786883230870081,4.383790857218395,9.715016648804225,0.00923863168891997,0.02569100642764505,0.3699957258403611,4.383790857218395,3.610575184483253,0.08253820943129665,0.16124957949983526,Not DE,Proto Down
AT1G22930,1.3588692526368678,6.990370285871654,54.480537412672824,1.028602376359183e-5,9.093903066736038e-5,0.2291990415317933,6.990370285871654,1.8150093380714403,0.20362713303035002,0.3213633428638607,Not DE,Proto Up
AT1G22950,-0.6467635561087887,2.7513687337087416,1.6939621660046371,0.218326035862829,0.3186624801714603,-4.775641563998101e-5,2.7513687337087416,6.364832101845355e-10,0.9999802989883497,0.9999802989883497,Not DE,Not DE
AT1G22960,-0.3363426833131918,2.23201050385223,0.3646038404472449,0.5575802885840335,0.655006369916182,0.676169063950395,2.23201050385223,2.4154120102868415,0.146982219359019,0.24951184291817757,Not DE,Not DE
AT1G22970,-1.5540042841740855,2.9993887092501694,10.777966171840713,0.0068212061297292835,0.020232232377336252,-0.2111185001258237,2.9993887092501694,0.42440437918479723,0.5274389342793471,0.6482951782598263,Not DE,Proto Down
AT1G22985,4.229974659908125,4.47452773087574,194.79513807979006,1.3117395855883477e-8,4.2027101105440715e-7,-0.5225788502929823,4.47452773087574,2.509669317261514,0.1400070251101111,0.24102495377724487,Not DE,Proto Up
AT1G23020,-0.7581743907938658,3.3310519829470095,4.382188022328178,0.058999302153516876,0.11328141766946573,0.25355540050809455,3.3310519829470095,0.8529653946124998,0.37452024347525303,0.5055204535602884,Not DE,Not DE
AT1G23030,-1.4419098754606239,3.7542986501306284,11.714524406719796,0.005290460802274949,0.016517812292262776,-1.5076281188144356,3.7542986501306284,24.401538366255455,3.7789605608301e-4,0.0030684023834501835,Not DE,Proto Down
AT1G23040,0.7294544172209606,4.345244968743448,5.220852343022747,0.042002581949544544,0.08631613329041711,1.8487245990026986,4.345244968743448,41.348478653953826,3.804151780243691e-5,6.599243575658981e-4,Not DE,Not DE
AT1G23080,-1.4141378741984456,3.5209092374005966,7.3711401631026,0.019276648433286935,0.04652909858789396,-1.2718790080019138,3.5209092374005966,11.895559802641017,0.005043481728927368,0.01960749116255058,Not DE,Proto Down
AT1G23090,-3.086054033898753,3.4986279445367217,46.77237918498959,2.1375124086148523e-5,1.6787294150421054e-4,0.08918251365096203,3.4986279445367217,0.11584056913405046,0.8918996038495804,0.9300388098578172,Not DE,Proto Down
AT1G23100,-2.1522263152457444,2.4958920078181572,13.074948611950457,0.0037295541218611283,0.01242390777392497,0.21883534827980464,2.4958920078181572,0.3436090906418504,0.5689801703824344,0.6835262894992921,Not DE,Proto Down
AT1G23130,-3.029003599649404,8.667807943363057,61.49778207318077,5.6792510729134e-6,5.5356372966013925e-5,0.5264043449647782,8.667807943363057,3.6110873910873806,0.08251912335378807,0.16123311534135262,Not DE,Proto Down
AT1G23180,0.021347566251474503,3.160025450801896,0.0031308742628792445,0.9563301408321792,0.9696632509128208,-0.3661756053708137,3.160025450801896,1.409161195606602,0.2589288018759509,0.38411454211802587,Not DE,Not DE
